time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2022/10/20/21:06:57.251992,193,0,0,base_link,0.534,0.301,0.105884333253,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.261961,194,0,0,base_link,0.534,0.301,0.105759478286,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.272280,195,0,0,base_link,0.534,0.301,0.105634627044,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.281953,196,0,0,base_link,0.534,0.301,0.105509775802,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.292602,197,0,0,base_link,0.534,0.301,0.105384926423,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.301996,198,0,0,base_link,0.534,0.301,0.105260078907,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.312185,199,0,0,base_link,0.534,0.301,0.105135231391,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.322151,200,0,0,base_link,0.534,0.301,0.105010387599,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.332060,201,0,0,base_link,0.534,0.301,0.104885543808,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.341963,202,0,0,base_link,0.534,0.301,0.10476070188,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.351975,203,0,0,base_link,0.534,0.301,0.104635861814,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.362014,204,0,0,base_link,0.534,0.301,0.104511023611,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.372131,205,0,0,base_link,0.534,0.301,0.10438618727,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.381958,206,0,0,base_link,0.534,0.301,0.10426135093,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.392056,207,0,0,base_link,0.534,0.301,0.104136518314,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.402108,208,0,0,base_link,0.534,0.301,0.104011685699,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.411954,209,0,0,base_link,0.534,0.301,0.103886854947,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.423470,210,0,0,base_link,0.534,0.301,0.103762026057,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.432006,211,0,0,base_link,0.534,0.301,0.103637199029,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.442005,212,0,0,base_link,0.534,0.301,0.103512373865,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.452128,213,0,0,base_link,0.534,0.301,0.1033875487,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.461923,214,0,0,base_link,0.534,0.301,0.103262727261,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.471969,215,0,0,base_link,0.534,0.301,0.103137905821,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.482019,216,0,0,base_link,0.534,0.301,0.103013088107,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.491962,217,0,0,base_link,0.534,0.301,0.102888270393,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.502216,218,0,0,base_link,0.534,0.301,0.102763454542,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.511984,219,0,0,base_link,0.534,0.301,0.102638640553,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.522082,220,0,0,base_link,0.534,0.301,0.102513828427,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.531967,221,0,0,base_link,0.534,0.301,0.102389018163,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.541971,222,0,0,base_link,0.534,0.301,0.102264209762,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.552166,223,0,0,base_link,0.534,0.301,0.102139403224,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.562039,224,0,0,base_link,0.534,0.301,0.102014598548,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.571945,225,0,0,base_link,0.534,0.301,0.101889793873,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.581977,226,0,0,base_link,0.534,0.301,0.101764992923,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.591984,227,0,0,base_link,0.534,0.301,0.101640193835,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.602037,228,0,0,base_link,0.534,0.301,0.101515394747,-0.3828,0.9238,0.0,0.0
