,Resolution,4,,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,Unique timestamp,Force.z
2022/10/27/22:18:55.714908,2022/10/27/22:18:55.71,5406548,1666934335,713780574,tool0_controller,-1.320257682,0.021753151,-0.097777082,-0.006784224,0.040070648,0.004647822,,2022/10/27/22:18:56.24,-0.636273564
2022/10/27/22:18:55.715949,2022/10/27/22:18:55.71,5406549,1666934335,715801191,tool0_controller,-1.371951951,0.027699648,-0.545779089,-0.001488586,0.033592837,0.001633269,,2022/10/27/22:18:56.25,-0.531705622
2022/10/27/22:18:55.718205,2022/10/27/22:18:55.71,5406550,1666934335,717798021,tool0_controller,-1.193106854,-0.056603691,-0.450909497,-0.002754484,0.001239906,-0.000290738,,2022/10/27/22:18:56.26,-0.47132941
2022/10/27/22:18:55.720372,2022/10/27/22:18:55.72,5406551,1666934335,719775804,tool0_controller,-1.238654129,-0.438953436,-0.894736071,-0.003018177,0.004547941,-0.00526186,,2022/10/27/22:18:56.27,-0.556085861
2022/10/27/22:18:55.722054,2022/10/27/22:18:55.72,5406552,1666934335,721740659,tool0_controller,-1.318089259,-0.295205269,-0.583904601,-0.005833748,0.01522609,0.003506154,,2022/10/27/22:18:56.28,-0.365248753
2022/10/27/22:18:55.724268,2022/10/27/22:18:55.72,5406553,1666934335,723687465,tool0_controller,-1.193189851,-0.26684882,0.080044674,0.001334416,0.024493473,0.003983837,,2022/10/27/22:18:56.29,-0.688044289
2022/10/27/22:18:55.726145,2022/10/27/22:18:55.72,5406554,1666934335,725374420,tool0_controller,-1.118871346,0.092863432,0.172999432,-0.001676206,0.038397713,0.009913803,,2022/10/27/22:18:56.30,-0.316859525
2022/10/27/22:18:55.727720,2022/10/27/22:18:55.72,5406555,1666934335,727525334,tool0_controller,-1.129705982,-0.135875166,-0.168080282,0.001686626,0.030949262,-0.00051831,,2022/10/27/22:18:56.31,-0.380572021
2022/10/27/22:18:55.731739,2022/10/27/22:18:55.73,5406556,1666934335,730299675,tool0_controller,-1.203709204,0.194335038,-0.288857835,-0.002872515,0.009253176,0.003433164,,2022/10/27/22:18:56.32,-0.513719036
2022/10/27/22:18:55.732656,2022/10/27/22:18:55.73,5406557,1666934335,732169623,tool0_controller,-1.420671968,-0.323305844,-0.595821584,-0.008828185,0.007010355,-0.005472773,,2022/10/27/22:18:56.33,-0.341206944
2022/10/27/22:18:55.734399,2022/10/27/22:18:55.73,5406558,1666934335,734012326,tool0_controller,-1.301832699,0.196100553,-0.370913727,1.38E-05,0.007050029,0.008409691,,2022/10/27/22:18:56.34,-0.110580126
2022/10/27/22:18:55.736131,2022/10/27/22:18:55.73,5406559,1666934335,735891281,tool0_controller,-1.272679999,-0.008410485,-0.413297898,0.009495935,0.029252292,0.002813026,,2022/10/27/22:18:56.35,-0.225400813
2022/10/27/22:18:55.738361,2022/10/27/22:18:55.73,5406560,1666934335,737743641,tool0_controller,-1.39308607,-0.034925276,-0.477236015,0.002886646,0.040715493,0.00312289,,2022/10/27/22:18:56.36,0.18076042
2022/10/27/22:18:55.741405,2022/10/27/22:18:55.74,5406561,1666934335,739595792,tool0_controller,-1.304799951,-0.69901801,-0.366667499,-0.002249834,0.032689823,-0.017861899,,2022/10/27/22:18:56.37,-0.383434427
2022/10/27/22:18:55.741612,2022/10/27/22:18:55.74,5406562,1666934335,741308992,tool0_controller,-1.261048597,0.158695358,-0.468647453,-0.002911785,0.021163072,0.004192499,,2022/10/27/22:18:56.38,-0.11999382
2022/10/27/22:18:55.743259,2022/10/27/22:18:55.74,5406563,1666934335,743031592,tool0_controller,-1.465406322,-0.21456379,-0.815414143,0.003633543,0.018022432,-0.007138479,,2022/10/27/22:18:56.39,-0.200040864
2022/10/27/22:18:55.744949,2022/10/27/22:18:55.74,5406564,1666934335,744717425,tool0_controller,-1.235408701,-0.009267683,-0.44803486,0.004249216,0.007691707,0.000636467,,2022/10/27/22:18:56.40,-0.429223186
2022/10/27/22:18:55.746595,2022/10/27/22:18:55.74,5406565,1666934335,746387675,tool0_controller,-1.431948157,0.127009864,-0.567549121,-0.002431814,0.029055323,0.001993335,,2022/10/27/22:18:56.41,-0.500594748
2022/10/27/22:18:55.748252,2022/10/27/22:18:55.74,5406566,1666934335,748061734,tool0_controller,-1.428415771,0.29034435,-0.36748776,0.009122471,0.029913248,0.005954285,,2022/10/27/22:18:56.42,-0.198530149
2022/10/27/22:18:55.749906,2022/10/27/22:18:55.74,5406567,1666934335,749728931,tool0_controller,-1.352107586,-0.147496782,-0.414728757,0.00038177,0.029768457,-0.004973291,,2022/10/27/22:18:56.43,-0.344719803
2022/10/27/22:18:55.751714,2022/10/27/22:18:55.75,5406568,1666934335,751423924,tool0_controller,-1.356803106,0.106774022,-0.494650694,-0.00136682,0.026237461,0.002810455,,2022/10/27/22:18:56.44,-0.347429844
2022/10/27/22:18:55.754496,2022/10/27/22:18:55.75,5406569,1666934335,754135662,tool0_controller,-1.288804376,0.319216197,-0.539448035,0.003037054,0.011371544,0.004347167,,2022/10/27/22:18:56.45,-0.6520883
2022/10/27/22:18:55.756716,2022/10/27/22:18:55.75,5406570,1666934335,756142645,tool0_controller,-1.51356297,0.246120869,-0.758860499,0.004166149,0.013934209,0.006625571,,2022/10/27/22:18:56.46,-0.335841635
2022/10/27/22:18:55.758372,2022/10/27/22:18:55.75,5406571,1666934335,757907464,tool0_controller,-1.417510316,0.200327814,-0.516708441,0.001155944,0.013655389,0.004721843,,2022/10/27/22:18:56.47,-0.17244401
2022/10/27/22:18:55.760076,2022/10/27/22:18:55.76,5406572,1666934335,759689212,tool0_controller,-0.979697657,0.195003495,-0.23969277,-0.001690532,0.016285741,0.009317755,,2022/10/27/22:18:56.48,-0.232057096
2022/10/27/22:18:55.761764,2022/10/27/22:18:55.76,5406573,1666934335,761447504,tool0_controller,-1.098658617,0.218228696,-0.263350401,0.000425768,0.032226002,0.006649525,,2022/10/27/22:18:56.49,-0.49874139
2022/10/27/22:18:55.763448,2022/10/27/22:18:55.76,5406574,1666934335,763208247,tool0_controller,-1.176674303,0.099758009,-0.217820317,-0.000184304,0.028524502,0.003234118,,2022/10/27/22:18:56.50,-0.356697653
2022/10/27/22:18:55.765138,2022/10/27/22:18:55.76,5406575,1666934335,764966799,tool0_controller,-1.051346994,0.040324725,-0.106810967,-0.005969307,0.015185793,0.000572922,,2022/10/27/22:18:56.51,-0.502188217
2022/10/27/22:18:55.767486,2022/10/27/22:18:55.76,5406576,1666934335,766764282,tool0_controller,-1.183835998,-0.03644808,-0.168151806,-0.003746662,0.014095463,0.00702288,,2022/10/27/22:18:56.52,-0.448019
2022/10/27/22:18:55.769125,2022/10/27/22:18:55.76,5406577,1666934335,768489800,tool0_controller,-1.187330693,-0.113501897,-0.708355289,0.001879676,0.021981819,0.003629453,,2022/10/27/22:18:56.53,-0.61531087
2022/10/27/22:18:55.770784,2022/10/27/22:18:55.77,5406578,1666934335,770182257,tool0_controller,-1.354473307,-0.176281434,-0.421167466,0.00332909,0.022188343,-0.003937791,,2022/10/27/22:18:56.54,-0.537794447
2022/10/27/22:18:55.772564,2022/10/27/22:18:55.77,5406579,1666934335,771910442,tool0_controller,-1.29481956,0.247410138,-0.534412556,0.0044875,0.033893514,0.008551846,,2022/10/27/22:18:56.55,-0.522268355
