,resolution,4,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,Unique timestamp,Force.z
2022/10/20/22:00:00.996584,2022/10/20/22:00:00.99,3398989,1666328400,996422427,tool0_controller,-0.007882107,0.014943983,-0.480586249,-0.079662599,-0.007716448,-0.009279792,2022/10/20/22:00:01.60,0.014689793
2022/10/20/22:00:00.998825,2022/10/20/22:00:00.99,3398990,1666328400,998446857,tool0_controller,-0.126179445,0.015705671,0.391079508,-0.096897017,0.007075,0.014812372,2022/10/20/22:00:01.61,0.12204711
2022/10/20/22:00:01.001079,2022/10/20/22:00:01.00,3398991,1666328401,447750,tool0_controller,-0.143083761,-0.300929426,0.691878961,-0.083691776,0.020367534,0.004309819,2022/10/20/22:00:01.62,0.057333918
2022/10/20/22:00:01.002734,2022/10/20/22:00:01.00,3398992,1666328401,2435356,tool0_controller,-0.113177557,-0.014047042,0.126483813,-0.068704003,0.021862945,-0.003570958,2022/10/20/22:00:01.63,-0.169123047
2022/10/20/22:00:01.005068,2022/10/20/22:00:01.00,3398993,1666328401,4413556,tool0_controller,-0.044418926,0.369834574,-0.143182123,-0.058848021,-0.005069887,-0.01003875,2022/10/20/22:00:01.64,0.043295247
2022/10/20/22:00:01.006803,2022/10/20/22:00:01.00,3398994,1666328401,6419156,tool0_controller,0.004407109,0.174052903,-0.525873963,-0.069336787,-0.020162471,-0.016730146,2022/10/20/22:00:01.65,-0.16309705
2022/10/20/22:00:01.008945,2022/10/20/22:00:01.00,3398995,1666328401,8419332,tool0_controller,-0.102020345,-0.072520356,-0.373191926,-0.08098145,-0.010387511,-0.013418611,2022/10/20/22:00:01.66,-0.061684013
2022/10/20/22:00:01.011778,2022/10/20/22:00:01.01,3398996,1666328401,11389725,tool0_controller,-0.380993141,-0.139956425,0.211447653,-0.083702411,0.013084754,-0.005601694,2022/10/20/22:00:01.67,0.13955208
2022/10/20/22:00:01.013439,2022/10/20/22:00:01.01,3398997,1666328401,12791900,tool0_controller,-0.297604908,0.161486272,0.45370405,-0.075832521,0.020024141,0.005654431,2022/10/20/22:00:01.68,-0.104443114
2022/10/20/22:00:01.014577,2022/10/20/22:00:01.01,3398998,1666328401,14440867,tool0_controller,-0.283452416,-0.107621806,-0.083058896,-0.064986125,0.028490757,-0.002939808,2022/10/20/22:00:01.69,-0.063974633
2022/10/20/22:00:01.016806,2022/10/20/22:00:01.01,3398999,1666328401,16404127,tool0_controller,-0.037276894,0.37851626,-0.117542143,-0.068284224,-0.0056614,-0.007456025,2022/10/20/22:00:01.70,0.229523408
2022/10/20/22:00:01.019043,2022/10/20/22:00:01.01,3399000,1666328401,18408245,tool0_controller,-0.023257803,0.425496105,-0.516950285,-0.071629898,-0.016419023,-0.012332915,2022/10/20/22:00:01.71,0.229338534
2022/10/20/22:00:01.020745,2022/10/20/22:00:01.02,3399001,1666328401,20407789,tool0_controller,-0.061081341,-0.18056286,-0.600433038,-0.070700705,-0.003053293,-0.018971366,2022/10/20/22:00:01.72,1.199801326
