time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,,,,,,,,,,
2022/11/02/21:16:40.166316,7026219,1667449000,166136202,tool0_controller,-0.104668231,0.395017676,0.893900938,-0.003844925,-0.023522343,-0.003452802,,,,,,,,,,,
2022/11/02/21:16:40.169652,7026220,1667449000,168995702,tool0_controller,-0.050211658,0.703360675,0.794427323,-0.007094354,-0.028720079,0.006502181,,,,,,,,,,,
2022/11/02/21:16:40.171309,7026221,1667449000,171046021,tool0_controller,-0.02370645,0.424769759,0.658606958,-0.007263782,-0.025730711,0.005711787,,,,,,,,,,,
2022/11/02/21:16:40.173640,7026222,1667449000,173367287,tool0_controller,0.034057196,0.526264322,0.626500661,-0.013047244,-0.018685284,0.009100246,,,,,,,,,,,
2022/11/02/21:16:40.175812,7026223,1667449000,175455240,tool0_controller,0.112303295,0.435837999,0.931759568,-0.006277593,-0.016645278,0.00872957,,,,,,,,,,,
2022/11/02/21:16:40.180470,7026224,1667449000,177570779,tool0_controller,-0.077595275,0.738683922,0.924533499,-0.010177503,-0.012849262,0.010446975,,,,,,,,,,,
2022/11/02/21:16:40.181557,7026225,1667449000,181155609,tool0_controller,-0.001017207,0.698748438,0.976072972,-0.011407992,-0.026380519,0.013344726,,,,,,,,,,,
2022/11/02/21:16:40.183243,7026226,1667449000,182613917,tool0_controller,0.027876306,0.604128054,0.769419051,-0.011712024,-0.020376891,0.004575736,,,,,,,,,,,
2022/11/02/21:16:40.184269,7026227,1667449000,184136599,tool0_controller,-0.096561476,0.617948328,0.577211917,-0.004620946,-0.012215162,0.000407189,,,,,,,,,,,
2022/11/02/21:16:40.185990,7026228,1667449000,185671463,tool0_controller,-0.266776663,0.826787537,0.805927211,-0.008160301,-0.017585448,0.006742369,,,,,,,,,,,
2022/11/02/21:16:40.187680,7026229,1667449000,187093528,tool0_controller,-0.136782816,0.858954889,0.662433834,-0.010736902,-0.019448727,0.010390807,,,,,,,,,,,
2022/11/02/21:16:40.188812,7026230,1667449000,188585972,tool0_controller,-0.115615741,0.817441319,0.601348024,-0.006733856,-0.013058149,0.011525515,,,,,,,,,,,
2022/11/02/21:16:40.190992,7026231,1667449000,190382706,tool0_controller,-0.139607724,0.963739965,1.21837619,-0.004131802,-0.029426815,0.016147595,,,,,,,,,,,
2022/11/02/21:16:40.192756,7026232,1667449000,192019121,tool0_controller,-0.122518911,0.503480363,1.018369052,-0.00753396,-0.023889881,0.004664014,,,,,,,,,,,
2022/11/02/21:16:40.193854,7026233,1667449000,193435557,tool0_controller,-0.106040007,0.598213808,0.725854749,-0.007943354,-0.021324668,0.01203606,,,,,,,,,,,
2022/11/02/21:16:40.197307,7026234,1667449000,194872519,tool0_controller,0.065846989,0.247116035,0.72851785,-0.00489896,-0.023239484,-0.000969993,,,,,,,,,,,
2022/11/02/21:16:40.198872,7026235,1667449000,198352521,tool0_controller,-0.071176281,0.220747842,0.935670783,-0.016242176,-0.016673553,0.00600052,,,,,,,,,,,
