t,w,x,y,z,ax,ay,az
0,,
1,Revision @ user[16][6] = A5,Checking hardware revision...
2,>*......>......,Resetting memory bank selection to 0...
2753,1.00,0.00,0.00,-0.01,54,-117,-86
2754,1.00,0.00,0.00,-0.01,302,-106,60
2755,1.00,0.00,-0.00,-0.01,380,-39,119
2756,1.00,0.00,-0.00,-0.01,189,-2,78
2757,1.00,0.00,-0.00,-0.01,-76,48,-122
2758,1.00,0.00,-0.00,-0.01,0,75,-288
2759,1.00,0.00,-0.00,-0.01,145,111,-175
2760,1.00,0.00,-0.00,-0.01,256,172,-182
2761,1.00,0.00,-0.00,-0.01,120,150,-232
2762,1.00,0.00,-0.00,-0.01,-237,174,-249
2763,1.00,0.00,0.00,-0.01,-109,133,-326
2764,1.00,0.00,0.00,-0.01,22,142,-148
2765,1.00,0.00,-0.00,-0.01,116,173,-14
2766,1.00,0.00,-0.00,-0.01,9,101,181
2767,1.00,0.00,-0.00,-0.01,-188,101,80
2768,1.00,0.00,0.00,-0.01,-106,71,29
2769,1.00,0.00,-0.00,-0.01,50,-8,204
2770,1.00,0.00,-0.00,-0.01,298,-42,251
2771,1.00,0.00,-0.00,-0.01,241,-111,278
2772,1.00,0.00,-0.00,-0.01,55,-32,-42
2773,1.00,0.00,-0.00,-0.01,190,-116,-229
2774,1.00,0.00,-0.00,-0.01,182,-194,-69
2775,1.00,0.00,-0.00,-0.01,251,-157,-28
2776,1.00,0.00,-0.00,-0.01,99,-44,-89
2777,1.00,0.00,-0.00,-0.01,-174,47,-247
2778,1.00,0.00,-0.00,-0.01,-263,135,-210
2779,1.00,0.00,-0.00,-0.01,-200,232,-96
2780,1.00,0.00,-0.00,-0.01,-82,246,36
2781,1.00,0.00,-0.00,-0.01,-127,186,41
2782,1.00,0.00,-0.00,-0.01,-237,113,-87
2783,1.00,0.00,0.00,-0.01,-146,77,-58
2784,1.00,0.00,0.00,-0.01,70,37,136
2785,1.00,0.00,-0.00,-0.01,180,-38,230
2786,1.00,0.00,-0.00,-0.01,100,-135,235
2787,1.00,0.00,-0.00,-0.01,-39,-110,88
2788,1.00,0.00,-0.00,-0.01,-2,-47,-82
2789,1.00,0.00,-0.00,-0.01,128,-133,82
2790,1.00,0.00,-0.00,-0.01,167,-43,47
2791,1.00,0.00,-0.00,-0.01,74,-96,0
2792,1.00,0.00,-0.00,-0.01,-106,-137,-183
2793,1.00,0.00,-0.00,-0.01,-68,-32,-353
2794,1.00,0.00,-0.00,-0.01,20,-5,-263
2795,1.00,0.00,-0.00,-0.01,77,55,-184
2796,1.00,0.00,-0.00,-0.01,-40,108,-85
2797,1.00,0.00,-0.00,-0.01,-281,200,-68
2798,1.00,0.00,0.00,-0.01,-243,246,-75
2799,1.00,0.00,0.00,-0.01,-140,147,196
2800,1.00,0.00,-0.00,-0.01,-127,21,397
2801,1.00,0.00,-0.00,-0.01,-20,-111,289
2802,1.00,0.00,-0.00,-0.01,-139,-150,103
2803,1.00,0.00,0.00,-0.01,-61,-83,29
2804,1.00,0.00,-0.00,-0.01,169,-81,103
2805,1.00,0.00,-0.00,-0.01,320,-111,65
2806,1.00,0.00,-0.00,-0.01,312,-155,-90
2807,1.00,0.00,-0.00,-0.01,170,-129,-195
2808,1.00,0.00,-0.00,-0.01,22,-145,-262
2809,1.00,0.00,-0.00,-0.01,-65,-159,-222
2810,1.00,0.00,-0.00,-0.01,-12,-119,-148
2811,1.00,0.00,-0.00,-0.01,-42,-3,-64
2812,1.00,0.00,-0.00,-0.01,-113,111,-61
2813,1.00,0.00,-0.00,-0.01,-155,146,-36
2814,1.00,0.00,-0.00,-0.01,-146,108,72
2815,1.00,0.00,0.00,-0.01,-58,67,97
2816,1.00,0.00,0.00,-0.01,0,-59,125
2817,1.00,0.00,-0.00,-0.01,40,-119,156
2818,1.00,0.00,-0.00,-0.01,89,-132,96
2819,1.00,0.00,-0.00,-0.01,12,-163,24
2820,1.00,0.00,-0.00,-0.01,59,-156,22
2821,1.00,0.00,-0.00,-0.01,79,-141,-30
2822,1.00,0.00,-0.00,-0.01,118,-95,-155
2823,1.00,0.00,-0.00,-0.01,147,-1,-237
2824,1.00,0.00,-0.00,-0.01,92,32,-268
2825,1.00,0.00,-0.00,-0.01,14,19,-231
2826,1.00,0.00,-0.00,-0.01,-76,53,-118
2827,1.00,0.00,-0.00,-0.01,-96,55,-30
2828,1.00,0.00,-0.00,-0.01,-92,29,75
2829,1.00,0.00,-0.00,-0.01,-80,0,151
2830,1.00,0.00,-0.00,-0.01,-77,-17,275
2831,1.00,0.00,-0.00,-0.01,5,-50,268
2832,1.00,0.00,-0.00,-0.01,115,-87,176
2833,1.00,0.00,-0.00,-0.01,183,-57,111
2834,1.00,0.00,-0.00,-0.01,167,-36,-28
2835,1.00,0.00,-0.00,-0.01,245,-94,-146
2836,1.00,0.00,-0.00,-0.01,100,-144,-123
2837,1.00,0.00,-0.00,-0.01,59,-117,-146
2838,1.00,0.00,-0.00,-0.01,-18,-74,-141
2839,1.00,0.00,-0.00,-0.01,-136,0,-88
2840,1.00,0.00,-0.00,-0.01,-122,114,-104
2841,1.00,0.00,-0.00,-0.01,-133,198,-78
2842,1.00,0.00,-0.00,-0.01,-129,244,-10
2843,1.00,0.00,-0.00,-0.01,-71,229,76
2844,1.00,0.00,-0.00,-0.01,-88,135,134
