w,x,y,z,ax,ay,az
0.95,-0.09,0.31,-0.03,1095,161,1047

0.94,-0.09,0.32,-0.03,1242,150,1128

0.94,-0.10,0.34,-0.03,1231,131,1125

0.93,-0.10,0.35,-0.03,1165,121,1091

0.92,-0.10,0.37,-0.04,984,113,1065

0.92,-0.10,0.38,-0.04,865,107,1107

0.91,-0.11,0.40,-0.04,957,106,1231

0.91,-0.11,0.41,-0.04,1106,85,1269

0.90,-0.11,0.42,-0.05,1084,103,1319

0.89,-0.11,0.43,-0.05,961,144,1296

0.89,-0.11,0.44,-0.05,985,142,1293

0.88,-0.11,0.45,-0.06,1041,166,1318

0.88,-0.11,0.46,-0.06,953,201,1363

0.87,-0.11,0.47,-0.06,1006,189,1259

0.87,-0.11,0.48,-0.06,1049,211,1358

0.86,-0.11,0.49,-0.07,1117,229,1390

0.86,-0.11,0.50,-0.07,1144,261,1382

0.85,-0.12,0.51,-0.07,1118,285,1331

0.85,-0.12,0.52,-0.07,1122,336,1303

0.84,-0.12,0.52,-0.07,1146,353,1272

0.83,-0.12,0.53,-0.08,1138,353,1265

0.83,-0.12,0.54,-0.08,1205,351,1264

0.82,-0.12,0.55,-0.08,1347,366,1331

0.81,-0.12,0.56,-0.08,1439,373,1373

0.81,-0.12,0.57,-0.08,1531,374,1337

0.80,-0.12,0.58,-0.08,1656,383,1315

0.79,-0.12,0.59,-0.09,1734,429,1390

0.78,-0.12,0.60,-0.09,1786,412,1301

0.77,-0.12,0.62,-0.09,1824,414,1344

0.77,-0.12,0.63,-0.09,1846,427,1388

0.76,-0.12,0.64,-0.09,1786,390,1288

0.75,-0.12,0.65,-0.09,1764,408,1211

0.74,-0.12,0.66,-0.09,1887,430,1175

0.73,-0.12,0.67,-0.09,1940,468,1248

0.72,-0.12,0.67,-0.09,1878,487,1390

0.72,-0.13,0.68,-0.09,1707,503,1519

0.71,-0.13,0.69,-0.10,1530,541,1576

0.70,-0.13,0.69,-0.10,1383,578,1590

0.70,-0.13,0.70,-0.10,1328,606,1624

0.69,-0.13,0.70,-0.10,1388,596,1642

0.68,-0.13,0.71,-0.10,1432,567,1572

0.67,-0.13,0.72,-0.10,1555,533,1495

0.67,-0.13,0.73,-0.10,1758,512,1461

0.66,-0.13,0.73,-0.10,1902,507,1521

0.65,-0.13,0.74,-0.10,1950,512,1614

0.64,-0.13,0.75,-0.10,2031,531,1665

0.64,-0.13,0.75,-0.10,1997,555,1644

0.63,-0.13,0.76,-0.11,1977,575,1639

0.62,-0.13,0.76,-0.11,2110,599,1651

0.62,-0.13,0.77,-0.11,2259,616,1705

0.61,-0.13,0.77,-0.11,2265,589,1741

0.61,-0.13,0.78,-0.11,2018,540,1707

0.60,-0.13,0.78,-0.11,2005,521,1623

0.59,-0.13,0.79,-0.11,2165,536,1527

0.58,-0.13,0.79,-0.11,2357,572,1552

0.58,-0.13,0.80,-0.11,2506,591,1648

0.57,-0.13,0.80,-0.12,2527,580,1751

0.56,-0.13,0.81,-0.12,2319,572,1767

0.56,-0.13,0.81,-0.12,2250,580,1707

0.55,-0.13,0.82,-0.12,2222,562,1569

0.54,-0.13,0.82,-0.12,2177,575,1523

0.53,-0.13,0.83,-0.13,2237,571,1466

0.52,-0.13,0.83,-0.13,2365,529,1348

0.51,-0.13,0.84,-0.13,2444,514,1384

0.50,-0.12,0.85,-0.14,2509,493,1446

0.49,-0.12,0.85,-0.14,2496,515,1432

0.48,-0.12,0.86,-0.14,2465,557,1479

0.47,-0.12,0.86,-0.14,2448,542,1416

0.46,-0.11,0.87,-0.15,2401,539,1278

0.46,-0.11,0.87,-0.15,2400,550,1221

0.45,-0.11,0.87,-0.15,2591,706,1238

0.45,-0.11,0.88,-0.15,2506,758,1030

0.44,-0.11,0.88,-0.15,2393,788,917

0.44,-0.11,0.88,-0.15,2326,779,830

0.44,-0.11,0.88,-0.15,2239,797,810

0.43,-0.11,0.88,-0.15,2092,790,753

0.43,-0.11,0.88,-0.16,1987,738,644

0.43,-0.11,0.88,-0.16,1894,716,619

0.42,-0.12,0.88,-0.16,1782,705,767

0.42,-0.12,0.89,-0.17,1784,694,890

0.41,-0.12,0.89,-0.17,1853,701,1037

0.41,-0.12,0.89,-0.17,1865,694,1223

0.40,-0.12,0.89,-0.18,1909,689,1319

0.40,-0.12,0.89,-0.18,2006,684,1370

0.39,-0.12,0.89,-0.18,2069,685,1404

0.38,-0.12,0.90,-0.18,2157,670,1418

0.38,-0.12,0.90,-0.19,2334,671,1425

0.37,-0.12,0.90,-0.19,2481,634,1472

0.36,-0.12,0.90,-0.19,2545,632,1504

0.35,-0.12,0.91,-0.19,2591,673,1520

0.35,-0.12,0.91,-0.20,2628,702,1544

0.34,-0.12,0.91,-0.20,2585,755,1602

0.34,-0.12,0.91,-0.20,2485,803,1692

0.33,-0.12,0.91,-0.21,2415,815,1727

0.33,-0.12,0.92,-0.21,2336,807,1700

0.32,-0.12,0.92,-0.21,2259,771,1628

0.31,-0.12,0.92,-0.21,2168,736,1535

0.31,-0.11,0.92,-0.21,2120,690,1444

0.30,-0.11,0.92,-0.22,2113,645,1356

